Category,Category URL
Dinners,https://www.allrecipes.com/recipes/17562/dinner/
5-Ingredient Dinners,https://www.allrecipes.com/recipes/17057/everyday-cooking/more-meal-ideas/5-ingredients/main-dishes/
One-Pot Meals,https://www.allrecipes.com/recipes/15436/everyday-cooking/one-pot-meals/
Quick & Easy,https://www.allrecipes.com/recipes/1947/everyday-cooking/quick-and-easy/
30-Minute Meals,https://www.allrecipes.com/recipes/455/everyday-cooking/more-meal-ideas/30-minute-meals/
Family Dinners,https://www.allrecipes.com/recipes/17889/everyday-cooking/family-friendly/family-dinners/
"Soups, Stews & Chili",https://www.allrecipes.com/recipes/94/soups-stews-and-chili/
Comfort Food,https://www.allrecipes.com/recipes/16099/everyday-cooking/comfort-food/
Main Dishes,https://www.allrecipes.com/recipes/80/main-dish/
Sheet Pan Dinners,https://www.allrecipes.com/recipes/22992/everyday-cooking/sheet-pan-dinners/
