ID,Recipe Name,Description,Ingredients,Preparation Steps,Recipe URL
212498,Easy Chicken and Broccoli Alfredo,Fettuccine is used for this chicken and broccoli Alfredo recipe but you can use your favorite pasta.,"8 ounces fettuccine, uncooked; 2 cups fresh broccoli florets; ¼ cup Kraft Zesty Italian Dressing; 1 pound boneless skinless chicken breasts, cut into bite-sized pieces; 1 ⅔ cups milk; 4 ounces Philadelphia Cream Cheese, cubed; ¼ cup Kraft Grated Parmesan Cheese; ½ teaspoon dried basil leaves","Cook pasta as directed on package, adding broccoli to the boiling water for the last 2 minutes of the pasta cooking time. Drain pasta mixture. Meanwhile, heat dressing in large nonstick skillet on medium-high heat. Add chicken and cook until no longer pink in the center, stirring occasionally, about 5 to 7 minutes. Stir in milk, cream cheese, Parmesan cheese, and basil. Bring to a boil, stirring constantly. Cook until sauce is well blended and heated through, about 1 to 2 minutes. Add chicken mixture to pasta mixture; mix lightly.",https://www.allrecipes.com/recipe/212498/easy-chicken-and-broccoli-alfredo/
83646,Corned Beef Roast,This corned beef roast is easy to prepare for the oven and wonderful to eat. Plan to roast for about one hour per pound.,"1 (5 1/2 pound) corned beef brisket with spice packet; 7 small potatoes, peeled and diced; 4 medium carrots, peeled and diced; 1 medium onion, diced; 3 cloves garlic, chopped","Preheat the oven to 300 degrees F (150 degrees C). Place corned beef brisket in the center of a roasting pan. Arrange potatoes and carrots around the sides, then scatter onion and garlic over top. Sprinkle seasoning packet over beef, then pour in water until potatoes are almost covered. Cover with a lid or heavy aluminum foil. Roast in the preheated oven until corned beef is so tender it can be flaked apart with a fork, about 5 to 6 hours.",https://www.allrecipes.com/recipe/83646/corned-beef-roast/
158799,Stout-Braised Lamb Shanks,This hearty Irish lamb shank stew is perfect if you feel like having something a little different on St. Patrick's Day.,"1 tablespoon vegetable oil; 4  lamb shanks; 1  onion, chopped; 4 cloves garlic, chopped; 2  carrots, chopped; 2  celery ribs, chopped; 2 tablespoons tomato paste; 1 (14 ounce) can beef broth; 1 (12 fluid ounce) bottle stout (such as Guinness®) or porter; 3 sprigs fresh thyme; 3 sprigs fresh parsley; 1  bay leaf; 1 sprig fresh rosemary; salt and pepper to taste","Heat oil in a Dutch oven or large, wide pot over medium-high heat until oil begins to smoke. Sear lamb shanks in hot oil on all sides until browned, about 10 minutes. Remove lamb shanks and set aside. Drain excess grease. Add onion and garlic to the Dutch oven over medium heat. Cook and stir until onion is softened and translucent, about 5 minutes. Stir in carrots, celery, and tomato paste; cook for 5 minutes more. Return lamb shanks to the Dutch oven and pour in broth and stout beer. Use kitchen twine to tie together thyme, parsley, and bay leaf into a secure bundle; add to lamb shanks. Bring to a boil. Reduce heat to medium-low, cover, and simmer, stirring occasionally, until lamb is tender and nearly falls off the bone, 2 to 3 hours. Stir in rosemary sprig and season with salt and pepper during the last 10 minutes of cooking. Remove rosemary sprig and herb bundle before serving.",https://www.allrecipes.com/recipe/158799/stout-braised-lamb-shanks/
8509102,Chicken Al Pastor,This chicken al pastor features almost-charred pineapple and toasty spicy chicken that is incredibly tender and juicy! Serve with of white onion and fresh cilantro.,"4  dried guajillo chiles, stemmed and seeded; 2 tablespoons achiote paste; 6 large cloves garlic, peeled; 1 (7 ounce) can chipotle peppers in adobo sauce, drained; 1 ⅓ cups finely chopped onion, divided; ⅔ cup orange juice; 3 tablespoons apple cider vinegar; 3 tablespoons olive oil; 1 tablespoon ground cumin; 1 tablespoon light brown sugar; 1 teaspoon kosher salt; 3 pounds skinless, boneless chicken thighs, cut in half; 8 (12-inch) jumbo wooden skewers; 1 large fresh pineapple - peeled, cored, and sliced; 20 (6 inch) corn tortillas; ¼ cup roughly chopped fresh cilantro","Heat a skillet over medium-high heat. Add dried chiles; cook, turning occasionally, until toasted and blistered in spots, 3 to 5 minutes. Add 1 cup water to just cover the chiles, and bring to a simmer over medium-high. Cover and cook, undisturbed, until softened, about 5 minutes. Drain well. Combine chiles, achiote, garlic, chipotles, 2/3 cup onion, orange juice, vinegar, oil, cumin, brown sugar, and salt in a blender; process until smooth, about 30 seconds. Reserve 1/2 cup marinade, cover, and refrigerate until ready to use. Place remaining marinade in a shallow dish or large resealable plastic bag, add chicken; toss to evenly coat. Cover chicken with plastic wrap, and refrigerate at least 8 hours or up to 24 hours. Place wooden skewers in a shallow dish; cover with water by 1 inch. Let stand at room temperature while chicken marinates. Preheat the oven to 400 degrees F (200 degrees C). Position oven rack 8 inches away from heating element. Line a small roasting pan or 13- x 9-inch baking dish with aluminum foil. Thread 1 pineapple slice onto 2 skewers, being sure to pierce through the center core, (skewers will be about 1 inch apart), leaving a 1 1/2-inch space from end of skewer. Thread 5 to 6 pieces of marinated chicken, stacking on top of pineapple; thread 1 pineapple slice. Repeat process, ending with pineapple slice, until all chicken pieces and pineapple slices are used, making 4 stacks total. Brush with any remaining marinade from chicken. Place stacked skewers in the prepared pan, resting skewer ends on edge of pan so that the chicken doesn't touch the bottom of the pan. Bake in the preheated oven for 30 minutes. Flip skewers over, brush with reserved 1/2 cup marinade. Bake until chicken is no longer pink in the center and the juices run clear, about 30 minutes longer. An instant-read thermometer inserted into the center should read 160 degrees F (71 degrees C). Increase oven temperature to broil; broil until browned and crispy, 3 to 5 minutes. Flip, and broil until browned and crispy, 3 to 5 minutes. Meanwhile, heat a large skillet over high heat. Working two at a time, add tortillas; cook, turning once, until heated and browning in some spots, 1 to 2 minutes per side. Repeat with remaining tortillas. Remove chicken and pineapple from skewers, place on cutting board, roughly chop. Divide chicken and pineapple between heated tortillas; top with remaining onion and cilantro.",https://www.allrecipes.com/recipe/8509102/chicken-al-pastor/
8508920,Mississippi Chicken,"Mississippi chicken is simple to make with just four ingredients for juicy, tangy shredded chicken that's delicious in buns or served over mashed potatoes or rice. You can make this in a slow cooker if you prefer.","2 pounds skinless, boneless chicken breasts; 1 (1 ounce) package dry ranch dressing mix (such as Hidden Valley Ranch); 1 cup sliced and drained pepperoncini peppers; 1/4 cup pepper juice (from jar of pepperoncini peppers); 4 tablespoons unsalted butter, sliced; 1/2 cup water","Gather ingredients. Preheat the oven to 350 degrees F (175 degrees C). Season chicken with ranch seasoning mix; place in bottom of a medium Dutch oven. Add pepperoncini peppers and 1/4 cup reserved pepper juice; top with sliced butter and pour in 1/2 cup water. Cover with a tight fitting lid, and bake in preheated oven until chicken is fork tender, 1 hour to 1 hour 15 minutes. An instant-read thermometer inserted into the center should read 165 degrees F (74 degrees C). Let stand 5 minutes. Shred chicken using two forks. Serve and enjoy! Season chicken with ranch seasoning mix and place in the bottom of 6-qt. slow cooker. Add pepperoncini peppers and 1/4 cup reserved pepper juice; top with butter and pour in 1/2 cup of water. Cover, and cook until chicken is fork-tender on LOW for 6 hours or on HIGH for 4 hours. An instant-read thermometer inserted into the center should read 165 degrees F (74 degrees C). Let stand 5 minutes. Shred chicken using two forks.",https://www.allrecipes.com/recipe/8508920/mississippi-chicken/
255462,Lasagna Flatbread,A simple lasagna pizza.,"1 (15 ounce) container ricotta cheese; 1 (8 ounce) package shredded mozzarella cheese, divided; 1 (3 ounce) package Parmesan cheese; 1  egg; 2 teaspoons Italian seasoning; 1 pound sausage; ½ (26 ounce) jar marinara sauce; 6  flatbreads","Preheat oven to 375 degrees F (190 degrees C). Combine ricotta cheese, 1/2 of the mozzarella cheese, Parmesan cheese, egg, and Italian seasoning in a bowl. Cook sausage in a skillet over medium heat until no longer pink, 5 to 10 minutes; drain. Stir in marinara sauce. Spread 1/6 of the cheese mixture evenly on each flatbread; cover with sausage mixture. Top with remaining mozzarella cheese. Bake in the preheated oven until cheese is melted and bubbly, 10 to 15 minutes. Cottage cheese can be substituted for the ricotta cheese if desired. Hamburger can be substituted for the sausage.",https://www.allrecipes.com/recipe/255462/lasagna-flatbread/
245210,Prosciutto-Wrapped Pork Tenderloin with Crispy Sage,Turn your weeknight dinner into a fancy affair with this easy pork tenderloin recipe.,"1 pound pork tenderloin; salt and ground black pepper to taste; 1 bunch fresh sage, leaves removed and stems discarded, divided; 6 ounces prosciutto; 1 tablespoon olive oil, or more as needed","Preheat oven to 350 degrees F (175 degrees C). Lightly season pork with salt and black pepper. Arrange about 6 sage leaves over tenderloin. Wrap prosciutto around tenderloin and sage, overlapping prosciutto slightly; wrap in plastic wrap and refrigerate to allow prosciutto to set on pork tenderloin, 5 to 10 minutes. Remove plastic wrap. Heat olive oil in a skillet over medium heat. Fry wrapped tenderloin in the hot oil until prosciutto is crispy and lightly browned on all sides, 8 to 10 minutes. Transfer wrapped tenderloin to a baking dish, reserving oil in the skillet. Bake tenderloin in the preheated oven until pork is cooked through, about 20 minutes. An instant-read thermometer inserted into the center should read at least 145 degrees F (63 degrees C). Heat reserved oil in the skillet over medium heat; fry remaining sage leaves until crispy, adding more oil as needed, about 5 minutes. Slice tenderloin and serve with crispy sage leaves.",https://www.allrecipes.com/recipe/245210/prosciutto-wrapped-pork-tenderloin-with-crispy-sage/
215231,Empanadas (Beef Turnovers),"This beef empanada recipe is made with Goya Discos pastry rounds and a mouthwatering filling of seasoned ground beef, tomatoes, onions, and garlic. Enjoy these flaky, deep-fried empanadas as an appetizer, a main dish, or even after your main course.","1 tablespoon Goya Extra Virgin Olive Oil; ½ pound ground beef; ½ medium yellow onion, finely chopped; ¼ cup Goya Tomato Sauce; 6  Goya Spanish Olives Stuffed with Minced Pimientos, thinly sliced; 2 tablespoons Goya Sofrito; 1 packet Sazon Goya with Coriander and Annatto; 1 teaspoon Goya Minced Garlic; ½ teaspoon Goya Dried Oregano; Goya Ground Black Pepper, to taste; 1 (14 ounce) package yellow or white Goya Discos empanada discs, thawed; 1 quart Goya Corn Oil, for frying","Gather the ingredients. Heat olive oil in a large skillet over medium heat. Add ground beef; cook and stir until browned and crumbly, about 10 minutes. Add onions and cook until soft, about 5 minutes. Stir in tomato sauce, olives, sofrito, sazón, garlic, oregano, and pepper. Reduce the heat to medium-low and simmer until mixture thickens, about 15 minutes. Roll empanada disks on a lightly floured surface until 1/2 inch larger in diameter. Spoon about 1 tablespoon meat mixture into the middle of each disk. Moisten the disk edges with water, fold in half over filling to form a half-moon, and pinch to seal (or seal with a fork). Heat 2 1/2 inches corn oil in a deep-fryer or large saucepan to 350 degrees F (175 degrees C). Working in batches, fry empanadas until crisp and golden brown, flipping once, 4 to 6 minutes. Transfer to paper towels to drain. Enjoy! Crispy empanadas, guaranteed! If you don't have a deep-fry thermometer, you can still estimate the temperature of the oil. Just place the handle of your wooden spoon (or a wooden chopstick) into the oil. If a steady stream of bubbles emerges from the wood, the oil is perfect. If the oil starts rapidly bubbling, or if only a few bubbles are present, then the oil is too hot or too cold, respectively.",https://www.allrecipes.com/recipe/215231/empanadas-beef-turnovers/
268494,Basic Air Fryer Hot Dogs,"These air fryer hot dogs in toasted buns turn out perfectly crisp in minutes with the help of your air fryer. Top with ketchup, mustard, relish, chili, or condiments of choice.",4  hot dog buns; 4  hot dogs,"There’s no need to fire up the grill — these air fryer hot dogs are crispy, juicy, and come together in mere minutes. Yes! Air-fried hot dogs are crispy on the outside and juicy on the inside. The perfectly toasted buns are the icing on the cake. Cook the buns in the air fryer, then cook the hot dogs. Serve the hot dogs in the toasted buns. It’s as simple as that! You’ll find the full, step-by-step recipe with detailed instructions below. In an air fryer preheated to 400 degrees F, four hot dogs should be perfectly cooked in about three minutes. The buns, meanwhile, should be crisp after about two minutes. Top each hot dog with your favorite toppings, such as ketchup, mustard, pickles, and sauerkraut. For serving inspiration, explore our collection of 15 Best Side Dishes to Serve With Hot Dogs. Here are a few of the top-rated recipes you’ll find: Store your cooked hot dogs in a shallow, airtight container or wrapped in foil in the refrigerator. They should stay good for about four days. Reheat in the microwave, air fryer, or oven. “Everything came out amazing,” raves one Allrecipes community member. “I was super skeptical but it was fast, easy, and delicious!” “This was the first thing we cooked in the new air fryer,” according to gabajoran. “Hot dogs and buns were perfect and the cleanup is incredibly easy.” “A fantastic way to make hot dogs,” says Stephanie. “Mine were frozen, so I cooked them for 4 minutes and they looked and tasted like they had been cooked on the grill.” Editorial contributions by Corey Williams Preheat an air fryer to 400 degrees F (200 degrees C). Place buns in a single layer in the air fryer basket; cook in the preheated air fryer until crisp, about 2 minutes. Remove buns to a plate. Place hot dogs in a single layer in the air fryer basket; cook for 3 minutes. Serve hot dogs in toasted buns.",https://www.allrecipes.com/recipe/268494/basic-air-fryer-hot-dogs/
11679,Homemade Mac and Cheese,"This homemade mac and cheese is topped with buttered bread crumbs for pure comfort food. It's easy to make the cheese sauce from scratch, starting with a roux and adding milk, Cheddar, and Parmesan to make a rich, decadent sauce that coats every nook and cranny of the noodles.","8 ounces uncooked elbow macaroni; ¼ cup salted butter; 3 tablespoons all-purpose flour; 2 ½ cups milk, or more as needed; 2 cups shredded sharp Cheddar cheese; ½ cup finely grated Parmesan cheese; salt and ground black pepper to taste; 2 tablespoons salted butter; ½ cup dry bread crumbs; 1 pinch ground paprika","Skip the boxed stuff and make homemade mac and cheese tonight. This from-scratch macaroni and cheese recipe will become a staple in your dinner rotation. These are the ingredients you'll need to make the best homemade mac and cheese of your life: You'll find the full, step-by-step recipe below — but here's a brief overview of what you can expect when you make this crowd-pleasing homemade mac and cheese: This homemade mac and cheese recipe uses a classic mixture of sharp Cheddar and Parmesan. Cheddar is a fantastic base, while Parmesan adds a more complex and salty flavor. Of course, you can adapt this recipe to suit your taste: Gruyere, Monterey Jack, and Gouda are all great options for macaroni and cheese. At 350 degrees F, this macaroni and cheese should be perfectly golden brown and gooey after about 30 minutes. This classic macaroni and cheese recipe works well as a side or entrée. If you're serving it as the main dish, try one of these tasty side dish ideas: If you're serving it on the side, meanwhile, consider pairing it with one of these hearty entrées: Allow the leftovers to cool completely. Transfer to an airtight container and store in the fridge for up to four days. Reheat the homemade mac and cheese in the oven or in the microwave. If you're worried about it drying out during the reheating process, stir in a tablespoon or two of milk. Yes, you can freeze homemade mac and cheese if you don't plan to eat it within four days. Transfer your leftovers to zip-top freezer bags in serving-size portions. Wrap each bag in foil, then freeze flat for up to six months. Thaw in the refrigerator overnight. ""This is definitely a favorite in my house,"" says Magic. ""I use almond milk instead of regular milk and add chicken to make it a macaroni chicken casserole. Also added more Cheddar."" ""My family asks for this mac and cheese constantly,"" raves Von Shively. ""I put fried onions on top for the last 5 minutes of baking. Absolutely love, love, love this recipe!"" ""So delicious,"" according to Amy Lemelin. ""I added a teaspoon of crushed garlic and a dash of chili pepper. I typed with crushed saltines and cooked bacon. This is my new favorite recipe!"" Editorial contributions by Corey Williams Gather all ingredients. Preheat the oven to 350 degrees F (175 degrees C). Grease an 8-inch square baking dish. To make the macaroni and cheese: Bring a large pot of lightly salted water to a boil. Add macaroni and simmer, stirring occasionally, until tender yet firm to the bite, about 8 minutes; it will finish cooking in the oven. Drain and transfer to the prepared baking dish. While the macaroni is cooking, melt 1/4 cup butter in a medium skillet over low heat. Whisk in flour and stir until the mixture becomes paste-like and light golden brown, 3 to 5 minutes. Gradually whisk 2 ½ cups milk into the flour mixture, and bring to a simmer. Stir in shredded Cheddar and finely grated Parmesan cheeses; season with salt and pepper. Cook and stir over low heat until cheese is melted and sauce has thickened, 3 to 5 minutes, adding up to 1/2 cup more milk if needed. Pour cheese sauce over macaroni and stir until well combined. Make the bread crumb topping: Melt 2 tablespoons butter in a skillet over medium heat. Add bread crumbs; cook and stir until well coated and browned. Spread bread crumbs over macaroni and cheese, then sprinkle with paprika. Bake in the preheated oven until topping is golden brown and macaroni and cheese is bubbling, about 30 minutes.",https://www.allrecipes.com/recipe/11679/homemade-mac-and-cheese/
